Article Title,Author,Journal Title,International,Subjects,Keywords,text
RESÚMENES.,,Revista de Fomento Social,1,SOCIOLOGY; SOCIAL change; IDENTITY (Psychology); IDENTITY (Philosophical concept),,"The article presents abstracts on sociology which include a European debate on national identities, the study on the relationship between human beings and nature in modernity, and the analysis on the approach to the concept of political and social impact."
RESÚMENES.,,Historia Mexicana,1,PRACTICAL politics -- Economic aspects; HISTORY; ARCHITECTURE -- Mexico -- Spanish influences; FESTIVALS -- Latin America; LATIN American history; NEW Spain; PERU,,"The article presents abstracts on historical topics which include the economic influences of the political breakdown in Spanish America, the influence of Spain and nationalistic memories in Mexican architecture, and Spanish influences in cultural festivities in New Spain and Peru."
RESÚMENES.,,Foro Internacional,1,MEXICO; LATIN America; UNITED States; MEXICO-United States relations; LATIN America-United States relations,,"Abstracts, in Spanish, of articles appearing in the issue are presented, including one on relations between the U.S. and Latin America from 1960 to 2010, one on Mexico's policy of accommodation of the U.S. during the mid and late 1900s, and one on Mexican relations with the U.S. from 1945 to 1970."
RESÚMENES.,,Historia Mexicana,1,REPRESENTATIVE government; RACE; CULTURE; MEXICO; SEMANTICS; 19TH century Mexican history; NEW Spain,,"Spanish language abstracts of articles published in the issue are presented, including abstracts of articles on the meaning of the concepts of representation, race, and culture in the history of New Spain and Mexico from 1750 to 1850."
RESÚMENES.,,Foro Internacional,1,"MERCOSUR (Organization); NATURAL gas; SPANISH Civil War, 1936-1939 -- Law & legislation; LATIN America -- Politics & government",,"The article presents abstracts on political topics in the Spanish-speaking world which include the natural gas industry in Argentina and Bolivia, perceptions of the free trade organization Mercado Común del Sur (Mercosur), and Spanish laws regarding the Spanish Civil War."
RESÚMENES.,,Foro Internacional,1,INTERNATIONAL relations,,"Spanish abstracts are presented for the articles published in this issue of the journal including ""Relaciones México-Estados Unidos. Arquitectura y montaje de las pautas de la Guerra Fría, 1945-1964"" by Lorenzo Meyer, ""2010: Balance y perspectivas del libre comercio entre México y Estados Unidos"" by Gustavo Vega Cánovas and ""Trayectorias divergentes: el modelo económico y social estadounidense y canadiense"" by Ilán Bizberg."
Resúmenes-Palabras Clave.,,"Historia, Antropologia y Fuentes Orales",1,POLITICAL violence; HISTORY; CHILE; SPAIN; GREAT Britain; CORPORATE history; WIT & humor -- Social aspects; 1973-1988,,"This article presents abstracts on topics related to history, including political violence in Spain from the Conquista to the Civil War, an oral history of businesses in Great Britain, and the use of humor as a coping mechanism during the military dictatorship in Chile from 1973-1990."
Résumés - Abstracts.,,Relations Internationales,1,"INTERNATIONAL relations -- History; HISTORY; EUROPE; OPERA; MILITARY bands (Musical groups); EUROPEAN history, 1789-1900; LISZT, Franz, 1811-1886",,"The article presents abstracts on international relations topics which include the circulation of operas in 19th-century Europe, 19th century Hungarian composer, pianist, and teacher Franz Liszt, and French military bands and international relations from 1850 to 1914."
RÉSUMÉS -- ABSTRACTS.,,Archipel,0,SUMATRA (Indonesia); JAVA (Indonesia); SOUTHEAST Asia; INDONESIA; ARCHAEOLOGY; TEMPLES; SOUTHEAST Asian civilization,,"The article presents abstracts in both English and French on topics surrounding archaeology in Indonesia and Malaysia, including the similarities in Javanese and Sumatran prehistoric civilization, archaeological research on Central Javanese temples, and an inscription discussing Javanese dynastic history."
"RÉSUMÉS 2012, 2013, 2014.",,Maghreb Review,1,TUNISIA; WEST Nile virus; WOMEN,,"The article presents summaries of theses on Tunisia defended in French at higher education establishments in France which include ""Epidémiologie de la maladie de West Nile en Tunisie"" by Ramzi Bergaoui, ""L'adoption en Tunisie: vécu, pratiques et représentations"" by Slama Abdellatif Soumaya, and ""Port du voile: représentations et pratiques du corps chez les femmes tunisiennes"" by Matri Khaoula."
RÉSUMÉS 2013 ET 2014.,,Maghreb Review,1,EMIGRATION & immigration; POLITICAL parties; MOROCCO; EDUCATION,,"The article presents summaries of theses on Morocco defended in French at higher education establishments in France which include ""La diversité linguistique et culturelle relative à l'orientation spatiale chez l'enfant et l'enseignant à l'école primaire au Maroc"" by Nadia Boutechkil, ""L'impact de la migration internationale sur l'économie marocaine"" by Amal Miftah, and ""Le statut des partis politiques au Maroc"" by Kasmi Sanae."
RÉSUMÉS 2014.,,Maghreb Review,1,EMIGRATION & immigration; ACADEMIC-industrial collaboration; ALGERIANS -- France; ALGERIA; TWENTIETH century,,"The article presents summaries of theses on Algeria defended in French at higher education establishments in France which include ""Le système éducatif algérien: instrument pour la mise à niveau des entreprises"" by Ahmed Adda, ""Des Algériennes à Lyon. 1947-1974"" by André Marc, and ""La wilaya hexagonale: l'Algérie et son émigration, une histoire d'identités (1962-1988)"" by Jean-Charles Scagnetti."
RÉSUMÉS DES ARTICLES.,,Mondes en Developpement,1,HUMANITARIAN intervention; INTERNATIONAL cooperation; ECONOMIC development; INTERNATIONAL economic assistance; DEVELOPING countries,,"Several abstracts are presented which discusses economic development in developing countries with topics, including international economic assistance to developing countries, cooperation among BRICS countries and international humanitarian intervention in Haïti in 2010."
